text
’ গতকাল বৃহস্পতিবার বঙ্গবন্ধু আন্তর্জাতিক সম্মেলন কেন্দ্রে গোপালগঞ্জ জেলা সমিতির এক অনুষ্ঠানে প্রধানমন্ত্রী এসব কথা বলেন।
সমিতির পক্ষ থেকে তাঁকে সম্মাননা প্রদান করা হয়।
গত ২৯ ডিসেম্বরর গণতন্ত্রের অভিযাত্রা কর্মসূচি দিন বিরোধীদলীয় নেত্রী খালেদা জিয়া গোপালগঞ্জ সম্পর্কে নাম বদলে দেওয়াসহ কিছু তির্যক মন্তব্য করেন।
"গোপালগঞ্জের টুঙ্গিপাড়ায় জন্ম নেওয়ায় নিজেকে গর্বিত বলে মন্তব্য করে শেখ হাসিনা বলেন, ‘যতই গোপালি বলুক, গোপালিরা আবার কপালিও হয়।"
"’ তিনি বলেন, গোপালগঞ্জ সম্পর্কে যিনি তিক্ত কথা বলেন, তাঁর স্বামী জিয়াউর রহমানকে মেজর থেকে মেজর জেনারেল করেছিলেন বঙ্গবন্ধু।"
"একটা এলাকার প্রতি তাঁর এত রাগ কেন? ক্ষোভ কেন? শেখ হাসিনা বলেন, পাকিস্তানের সাবেক সামরিক কর্মকর্তা জানজুয়ার মৃত্যুতে  খালেদা জিয়া শোকবার্তা পাঠিয়েছিলেন।"
এটা মিলিয়ে দেখলেই বোঝা যাবে গোপালগঞ্জের প্রতি তাঁর এত ক্ষোভ কেন? এর বেশি বলার দরকার নেই।
"তিনি বলেন, প্রধানমন্ত্রী হিসেবে তাঁকে সব এলাকার সবাইকে এক দৃষ্টিতে দেখতে হয়।"
